Item,Category,Vendor,U/M
Taralli Fennel seed Crackers,Cracker,ACE Endico,15/10.58oz
Manchego Cheese Wedges,Cheese,ACE Endico,6/105g
Pecorino Ramano Cheese wedges,Cheese,ACE Endico,1/7oz
Kraft Singles,Cheese,ACE Endico,12/12oz
Green Valley Coconut Water,Coconut Water,ACE Endico,1/33.8oz
Napoletano Nespresso Capsule,Coffee,ACE Endico,10/cs
8x6 38oz Black Micro Containers,Containers,ACE Endico,150/cs
Luxardo Maraschino Cherries,Cherries,ACE Endico,400g /ea
Mortadella,Deli Meat,ACE Endico,12/3oz
Caputo GF Flour,Flour,ACE Endico,
Caputo 00 Chef's Flour,Flour,ACE Endico,
Raw Yuca,Frozen,ACE Endico,6/5lb
Regatta Ginger beer,Ginger Beer,ACE Endico,24/8oz
Don pepino pizza sauce,Pizza sauce,ACE Endico,12/15oz
"Pizza Box 12"" Brown corrogated",Pizza Box,ACE Endico,50 bx/cs
Iceberg Lettuce,Produce,ACE Endico,
Gochujang Chili Paste,Seasoning,ACE Endico,12 jar/cs
"10"" Bamboo Skewers",Skewers,ACE Endico,20/100 ct
Coke Classic,Soda,ACE Endico,24/cs
Diet Coke,Soda,ACE Endico,24/cs
Sprite,Soda,ACE Endico,24/cs
Dr. Pepper,Soda,ACE Endico,12/cs
Perrier Glass Bottles,Water,ACE Endico,24/cs
Shishito Peppers,Peppers,ACE Endico,5lb
"Edge Shave Gel,Sensitive, Trial size",Shaving,Amazon,Ea.
Fruit of the Earth Aloe Vera,Aloe Gel,Amerisource,EA
"Nivea Men After Shave, Sensitive",Balm,Amerisource,EA
Aveeno skin Relief Frag-Free Body wash,Body Wash,Amerisource,Ea
"Speed Stick,A/P ",Deodorant,Amerisource,Ea.
"Speed Stick,Regular",Deodorant,Amerisource,Ea.
"Dove Invisable Clear, Sensitive",Deodorant,Amerisource,Ea.
"Lady speed Stick, Powder Fresh",Deodorant,Amerisource,Ea.
"Crystal Deodorant, Roll On",Deodorant,Amerisource,Ea
L'Oreal Studio Gel,Hair Gel,Amerisource,Ea
Cremo Thickening Paste,Hair Care,Amerisource,Ea
TRESemme Tres Two Extra Hold Hair Spray 11oz,Hair Care,Amerisource,Ea
Cetaphil Eczema Soothing Moisturizer ,Lotion,Amerisource,Ea
Vaseline Intensive Care,Lotion,Amerisource,Ea
"Act Anticavity Alcohl Free, mint",Mouthwash ,Amerisource,Ea.
"Act Anticavity Alcohl Free, Cinnamon",Mouthwash ,Amerisource,Ea.
"Listerine Cool Mint, Trial Size",Mouthwash ,Amerisource,Ea.
Revlon Nail Clippers,Nail Clippers,Amerisource,Ea.
"Gillette Mach 3 Refills, 10ct",Razors,Amerisource,Ea.
Gillette Mach 3 1-up Razor,Razors,Amerisource,Ea.
Gillette Venus Disposable Razor,Razors,Amerisource,Ea.
Off Family Insect Repellant Spray,Repellent,Amerisource,Ea
Cetaphil Gentile Skin Cleanser,Skin Cleanser,Amerisource,Ea
Suave Shampoo Almond Shea,Shampoo,Amerisource,Ea.
Head & Shoulders Classic Clean,Shampoo,Amerisource,Ea.
"Edge Ultra Shave Gel,Sensitive",Shaving,Amerisource,Ea.
"Skintimate Shave gel, Sensitive",Shaving,Amerisource,Ea.
Coppertone Sport waterproof Spray,Sunscreen,Amerisource,Ea
"Colgate Total Paste, Clean Mint",Toothpaste,Amerisource,24/Cs
Sensodyne ProEnamel Paste,Toothpaste,Amerisource,Ea.
"Aim Cavity Protection,  Mint Gel",Toothpaste,Amerisource,Ea.
"Crest Cavity Protection, Travel Size",Toothpaste,Amerisource,EA
Wet Ones Antibacterial Wipes Citrus,Towels,Amerisource,Ea
Vaporub Jar,Vaporub,Amerisource,Ea.
Artichoke Hearts (Brine),Artichoke,Atlantic,24/14
Pizzelle:Vanilla ,Cookies,Atlantic,12/8
"Lavazza Ground Espresso Crema,",Coffee,Atlantic,12/8.8
Asiago Wedge (Belgio),Cheese,Atlantic,16/10
Parmesan Wedge,Cheese,Atlantic,6/10
Jalapeno jack,Cheese,Atlantic,12/8
Ricotta (Cora),Cheese,Atlantic,12/15
Mascarpone Cheese Tub,Cheese,Atlantic,12/1
Mozzarella Balls (Vacuum Pk),Cheese,Atlantic,12/8
Prosciutto,Deli Meat,Atlantic,12/3
Capicollo: Hot,Deli Meat,Atlantic,12/4
Anchovies: Flat in Olive oil,"Fish, Jar",Atlantic,12/2
Garlic in Water,Garlic,Atlantic,12/8
Bay Leaves,Herbs/Spices,Atlantic,12/.3
Capellini D’Angelo #19,Pasta,Atlantic,20/16
Shells #24,Pasta,Atlantic,20/16
Linguine #2,Pasta,Atlantic,20/16
Penne Zita Rigate  #14 *,Pasta,Atlantic,20/16
Cora Gnocchi,Pasta,Atlantic,12/17.05
Roasted Red Peppers,Peppers,Atlantic,12/9
Cora Sun Dried Tomatoes,Tomatoes ,Atlantic,12/10
"Water, Spring Alder Creek",Water,Atlantic,24/cs
Ibarra Hot Chocolate,Chocolate,Best Mexican,12/19oz
Yellow Tortilla Chip,Chips,Best Mexican,5/1.5
Yellow Tortilla Chip- Low Sodium,Chips,Best Mexican,5/1.5
Cholula Salsa,Hot Sauce,Best Mexican,4oz
Tapatio Hot Sauce,Hot Sauce,Best Mexican,24/5
Habanero Sauce : Green,Hot Sauce,Best Mexican,4oz
Valentina Hot sauce,Hot Sauce,Best Mexican,24/12oz
Tajin Seasoning,Spice,Best Mexican,12/14oz
"Chorizo, Soft Pork",Meat,Best Mexican,12/12oz
La Moreno Chipotle Pepper in Adobo sauce ,Peppers,Best Mexican,12/7oz
La Moreno Whole Jalapeno peppers ,Peppers,Best Mexican,12/13.1
"Tamale, Chicken",Tamale,Best Mexican,4/pk/12
Empanada Dough Discs,Frozen Dough,Best Mexican,24/10
Tostadas,Tostada,Best Mexican,15/30 CT
Lysol Neutra Air Linen Sent,Air Freshner,Bozzutos,12/12oz
IGA Natural Apple Sauce,Apple Sauce,Bozzutos,12/25
IGA Apple Sauce 6pk,Apple Sauce,Bozzutos,12/24
Hormel Real Bacon Bits,Bacon,Bozzutos,12/3
Reusable Shopping Bags,Bags,Bozzutos,100 ct
Arm & Hammer Baking Soda,Baking Soda,Bozzutos,24/16
Rumford Baking Powder,Baking Powder,Bozzutos,12/12 oz
Bush Baked Beans Country Style,"Beans, Canned",Bozzutos,12/16
Hormel Chili Hot With Beans ,"Beans, Canned",Bozzutos,12/15
Heinz Beans with Tomato Sauce,"Beans, Canned",Bozzutos,12/13.7
OEP Refried Beans Traditional,"Beans, Canned",Bozzutos,12/16
OEP Fat Free Refried Beans,"Beans, Canned",Bozzutos,12/16
Sticky Fingers BBQ Sauce,BBQ Sauce,Bozzutos,6/18oz
Sweet Baby Ray's BBQ,BBQ Sauce,Bozzutos,12/18
Simply Done Paper Bowl 20 oz 24 count,Bowls,Bozzutos,
Ghiradelli Double Chocolate  Brownie Mix,Brownie Mix,Bozzutos,12/18 oz
King Arthur Gluten Free Brownie Mix,Brownie Mix,Bozzutos,6/17
Bisquick Biscuit Mix-GF,Biscuit Mix,Bozzutos,12/20oz
Pacific Organic Chicken Bone Broth,Broth,Bozzutos,12/32
Seven Farms Organic Beef Broth,Broth,Bozzutos,12/32oz
Schar Gluten Free Multigrain Bread,Bread,Bozzutos,6/14.1
Progresso Plain Bread Crumbs,Bread Crumbs,Bozzutos,15/12oz
4C GF Plain Bread Crumbs,Bread Crumbs,Bozzutos,6/12oz
Hershey's Milk Chocolate Bar,Candy,Bozzutos,36/1.5 oz
Hershey's Almond Bars,Candy,Bozzutos,36/1.45oz
Cadbury Candy Bar Milk Choc,Candy,Bozzutos,14/3.5 oz
Snickers  Candy bar,Candy,Bozzutos,48/cs
Reese's Cups,Candy,Bozzutos,36/cs
Black Forest Organic Bears,Candy,Bozzutos,12/cs
Caramel Squares,Candy,Bozzutos,12/14
Duncan Hines Dark Chocolate Cake,Cake Mix,Bozzutos,12/25 oz
Duncan Hines Butter Golden Cake,Cake Mix,Bozzutos,12/25 oz
Reese Non Pareil Capers,Capers,Bozzutos,12/3.5
Cascadian Farms Oat and Honey Granola,Cereal,Bozzutos,10/17oz
Bob's Apple Blueberry Granola,Cereal,Bozzutos,4/12oz
Bob's GF Honey Oat Granola,Cereal,Bozzutos,4/12
Bob's GF Muesli,Cereal,Bozzutos,4/16
Honey Graham Oh’s,Cereal,Bozzutos,12/10.8
"General Mills, Honey Nut Chex",Cereal,Bozzutos,6/cs
"General Mills, Cinnamon Toast Crunch",Cereal,Bozzutos,12/14
Post Grape Nuts,Cereal,Bozzutos,12/24
Quaker Cinnamon Life,Cereal,Bozzutos,12/13
Reese's Peanut Butter Puffs Cereal,Cereal,Bozzutos,12/11
Honey Bunches Of Oats Strawberries,Cereal,Bozzutos,12/10
