Item,Category,Vendor,U/M,,,
Pretzel Bun,Bakery,Bozzutos,40/2oz,,,
Brioche Burger Buns,Bakery,Bozzutos,18/7.05oz,,,
Hot Dogs Buns,Bakery,Bozzutos,10/12ct,,,
Full Circle Market Raisin Bran,Cereal,Bozzutos,12-16.5 oz box/cs,,,
Post Cereal Great Grains Crunchy Pecan,Cereal,Bozzutos,12-13.5 oz box/cs,,,
Cereal: Bran Flakes,Cereal,Bozzutos,14-18 oz box/cs,,,
Cereal: Wheatfuls,Cereal,Ginsberg's,10-16.4 oz box/cs,,,
Cereal: Rice Chex,Cereal,Ginsberg's,10-12 oz box/cs,,,
Cereal: Cheerios,Cereal,Ginsberg's,10-18 oz box/cs,,,
Tortillas Flour,Cooler,Ace Endico,,,,
CHEESE: Monterey Jack  ,Cooler,Atlantic,12/cs,,,
CHEESE: Sharp Cheddar Block,Cooler,Atlantic,12/cs,,,
Mozzarella Block,Cooler,Atlantic,12/8oz,,,
Tortillas Corn white,Cooler,Best Mexican,"30 ea/pkg, 30 pkg/cs",,,
Hillshire Farms Turkey,Cooler,Bozzutos,9/9oz,,,
Hillshire Farms Black Forest Ham,Cooler,Bozzutos,9/9oz,,,
Feta Cheese,Cooler,Bozzutos,12/4oz,,,
D&W Kielbasa,Cooler,Bozzutos,12/14oz,,,
House Tofu Firm,Cooler,Bozzutos,6/16oz,,,
Nasoya Silken Tofu,Cooler,Bozzutos,6/16oz,,,
Eggs: fresh,Cooler,Ginsberg's,30 doz/cs,,,
"Almonds: organic, raw",Cooler,Warehouse,30 lb/cs,,,
Apricots: dried,Cooler,Bozuttos,5 lb/cs,,,
Cranberries: dried,Cooler,Bozzutos,10 lb/cs,,,
Prunes: pitted,Cooler,Bozzutos,"50-60 ct, 5 lb/cs",,,
Raisins: California seedless,Cooler,Bozzutos,30 lb/cs,,,
Food Club Cream Cheese Block,Dairy,Bozzutos,8oz,,,
Low Fat Cottage Cheese ,Dairy,Ginsberg's,,,,
Cheese: Cream,Dairy,Sysco,100-1 oz pkt/cs,,,
Creamers: Half & Half Pints,Dairy,Sysco,12/cs,,,
Creamers: Half & Half,Dairy,Sysco,400-3/8 oz,,,
Milk: Whole,Dairy,Sysco,12 qrt/cs,,,
Milk: 2%,Dairy,Sysco,12-1 qt/cs,,,
"Yogurt: Plain, (Crowley)",Dairy,Sysco,6-2 lb ctr/cs,,,
Butter,Dairy,Warehouse,18-1 lb pkg/cs,,,
"Yogurt: Greek, (Upstate Farm)",Dariy,Ginsberg's,6-2 lb ctr/cs,,,
Ground Turkey,Freezer,Bozzutos,12/cs,,,
Chopped Spinach,Freezer,Bozzutos,24/cs,,,
Frozen Corn,Freezer,Bozzutos,12/cs,,,
Frozen Peas,Freezer,Bozzutos,12/cs,,,
Frozen Green Beans,Freezer,Bozzutos,8/cs,,,
Frozen Blueberries,Freezer,Bozzutos,8/cs,,,
Frozen Mangoes,Freezer,Bozzutos,8/cs,,,
Frozen Strawberries,Freezer,Bozzutos,8/cs,,,
Food Club Broccoli Florets,Freezer,Bozzutos,12/cs,,,
Bagel: Asiago,Freezer,Bozzutos,60 ea/cs,,,
Bagel: Everything,Freezer,Bozzutos,60 ea/cs,,,
Bagel: Plain,Freezer,Bozzutos,60 ea/cs,,,
Bagel: French Toast,Freezer,Bozzutos,60 ea/cs,,,
English Muffins,Freezer,Bozzutos,1/12cs,,,
Bacon: sliced,Freezer,Warehouse,"1 lb pkg, 24 pkg/cs",,,
Beef: diced,Freezer,Warehouse,40-1 lb pkg/cs,,,
Beef: ground,Freezer,Warehouse,40-1 lb pkg/cs,,,
Chicken: breast,Freezer,Warehouse,35 lb avg/cs,,,
Chicken: thighs,Freezer,Warehouse,35 lb avg/cs,,,
Hotdogs,Freezer,Warehouse,"8 ea/pkg, 25 lb/cs",,,
Pork: boneless loin,Freezer,Warehouse,10-3 lb pkg/cs,,,
Pork: Shoulder,Freezer,Warehouse,4-5 lb pkg/cs,,,
Sausage: Maple Link,Freezer,Warehouse,40-8 oz pkg/cs,,,
Sausage: Regular bulk,Freezer,Warehouse,40-1 lb pkg/cs,,,
Sausage: Italian bulk,Freezer,Warehouse,40-1 lb pkg/cs,,,
Wild Salmon,Freezer,Warehouse,20-8 oz pkg/cs,,,
Wild Cod,Freezer,Warehouse,4-8oz 10lb cs,,,
Tomato Paste   ,Grocery,Ace Endico,24/4.5oz,,,
Buckwheat ,Grocery,Amazon,6/28oz,,,
Balsamic Vinegar,Grocery,Atlantic,12/16oz,,,
Basil,Grocery,Atlantic,12/1.25,,,
Chili Powder,Grocery,Atlantic,12/4.5oz,,,
Garlic Granulated,Grocery,Atlantic,12/4.25,,,
Italian spice,Grocery,Atlantic,12/1.5oz,,,
Onion Powder,Grocery,Atlantic,12/3.5oz,,,
Oregano,Grocery,Atlantic,12/1 OZ,,,
Paprika,Grocery,Atlantic,12/3.75,,,
Parsley,Grocery,Atlantic,12/.5,,,
Parchment Paper,Grocery,Bozzutos,12/45sf,,,
Cling Wrap,Grocery,Bozzutos,12/200sf,,,
Aluminum Foil,Grocery,Bozzutos,35/75sf,,,
Seven Farms Chicken Broth,Grocery,Bozzutos,12/32oz,,,
Seven Farms Vegetrable Broth,Grocery,Bozzutos,12/32oz,,,
Krusteaz Pancake Mix,Grocery,Bozzutos,12/cs,,,
Full Circle Maple Syrup,Grocery,Bozzutos,6/32oz,,,
"Oatmeal, Old Fashion IGA",Grocery,Bozzutos,12/cs,,,
"Oatmeal, Steel Cut Full Circle",Grocery,Bozzutos,6/cs,,,
Cream of Wheat  ,Grocery,Bozzutos,12/28oz,,,
Smucker's Simply Fruit Strawberry,Grocery,Bozzutos,12/cs,,,
Smucker's Simply Fruit Red Rasp.,Grocery,Bozzutos,12/cs,,,
Smuckers Grape Jelly,Grocery,Bozzutos,12/cs,,,
Smuckers Natural Creamy Peanut Butter,Grocery,Bozzutos,12/cs,,,
Full Circle Ketchup,Grocery,Bozzutos,12/cs,,,
Mayonnaise Bottles,Grocery,Bozzutos, 15/30oz,,,
Mustard Bottles,Grocery,Bozzutos, 16/cs,,,
Frank's Sauce Red Hot,Grocery,Bozzutos,12/cs,,,
Progresso Low Sodium 12/18.5oz,Grocery,Bozzutos,12/cs,,,
Campbell's Cream of Mushrom Soup,Grocery,Bozzutos,12/10.5oz,,,
Progresso Tomato Basil Soup,Grocery,Bozzutos,12/19oz,,,
Full Circle Organic Garbanzo Beans,Grocery,Bozzutos,12/cs,,,
Full Circle Organic Black Beans,Grocery,Bozzutos,12/cs,,,
Food Club Cannellini Beans,Grocery,Bozzutos,12/cs,,,
Full Circle Dark Red Kidney Beans,Grocery,Bozzutos,12/cs,,,
Full Circle Organic Pinto Beans,Grocery,Bozzutos,12/cs,,,
Black Beans - Jack Rabbit,Grocery,Bozzutos,24/cs,,,
Lentils - Jack Rabbit,Grocery,Bozzutos,24/cs,,,
Blackeyed Peas- Jack Rabbit,Grocery,Bozzutos,24/cs,,,
Pinto Beans - Jack Rabbit,Grocery,Bozzutos,24/cs,,,
Garbanzo Beans- Jack Rabbit,Grocery,Bozzutos,24/cs,,,
Navy Beans   ,Grocery,Bozzutos,24 / 1 lb,,,
Full Circle Organic Quinoa,Grocery,Bozzutos,12/16oz,,,
Bob's Gluten Free 1 to 1 Flour,Grocery,Bozzutos,4/22oz,,,
Ronzoni Pasta Gluten Free Penne,Grocery,Bozzutos,12/12oz,,,
Ronzoni Pasta Gluten Free Spaghetti,Grocery,Bozzutos,12/cs,,,
"Pasta: penne, whole grain",Grocery,Bozzutos,8-16 oz pkg/cs,,,
Millet,Grocery,Bozzutos,4/28 oz,,,
Ken's  Blue Cheese ,Grocery,Bozzutos,12/8oz,,,
Wishbone Ranch  ,Grocery,Bozzutos,12/8oz,,,
Wishbone Thousand Island ,Grocery,Bozzutos,12/8oz,,,
Tableside Caesar  ,Grocery,Bozzutos,12/8oz,,,
Wishbone Balsamic Vinagrette ,Grocery,Bozzutos,12/8oz,,,
IGA Brown Sugar  ,Grocery,Bozzutos,12/33oz,,,
Grits,Grocery,Bozzutos,12/24 oz,,,
Domino Sugar ,Grocery,Bozzutos,10/4LB,,,
Sunsweet Prunes ,Grocery,Bozzutos,6/16oz,,,
Hecker's Flour ,Grocery,Bozzutos,8/5LB,,,
Whole Wheat Flour,Grocery,Bozzutos,15/32oz,,,
Value Naturalls Apricots ,Grocery,Bozzutos, 12/16oz,,,
Dried Chili Flakes   ,Grocery,Bozzutos,12/1.75oz,,,
Sun-maid Raisins ,Grocery,Bozzutos,12/10oz,,,
OS Cranberries   ,Grocery,Bozzutos,8/24oz,,,
Salt,Grocery,Bozzutos,6/24oz,,,
IGA Salt,Grocery,Bozzutos,24/26oz,,,
Diamond Shelled Walnuts,Grocery,Bozzutos,12/16oz,,,
Food Club Black Pepper,Grocery,Bozzutos,12/2oz,,,
Hunt's Whole Tomatoes,Grocery,Bozzutos,12/28oz,,,
Fleischmann's Yeast 3's ,Grocery,Bozzutos,1/cs,,,
Cinnamon,Grocery,Bozzutos,12/3,,,
Food Club Parmesan Cheese,Grocery,Bozzutos,12/8oz,,,
Croutons,Grocery,Bozzutos,12/5oz,,,
Reese Quartered Marinated Artichokes,Grocery,Bozzutos,12/7.5oz,,,
Mrs. Dash,Grocery,Bozzutos,8/2.5oz,,,
Black Olives Pitted,Grocery,Bozzutos,24/6oz,,,
Divina Organic Pitted Green Olives,Grocery,Bozzutos,12/6oz,,,
RedPack Tomatoes Crushed,Grocery,Bozzutos,12/28oz,,,
Tomatoes Organic Diced,Grocery,Bozzutos,12/28oz,,,
Tea: Black,Grocery,Bozzutos,"100 ea/bx, 10 bx/cs",,,
Cumin,Grocery,Bozzutos,6/1.5oz,,,
Tea: Green,Grocery,Bozzuto's ,"40 ea/bx,  6 bx/cs",,,
"SAUCE: soy, low sodium",Grocery,JFC,"10 oz/jar, 12 jar/cs",,,
Almond Breeze Unsweetned Almond Milk,Grocery,Warehouse,12/cs,,,
IGA Vegetable Oil,Grocery,Warehouse,9/48oz,,,
Cora Pasta Sauce,Grocery,Warehouse,12/cs,,,
Rice - White Carolina,Grocery,Warehouse,12/32oz,,,
Rice - Brown Carolina,Grocery,Warehouse,12/32oz,,,
"Coffee: DECAF, ground",Grocery,Warehouse,12-10.5 oz can/cs,,,
"Coffee: regular, Colombian ground",Grocery,Warehouse,40-12 oz bag/cs,,,
Coffee: Paradise Blend whole bean,Grocery,Warehouse,8 lb/cs,,,
Sioux Bee Honey,Grocery,Warehouse,32oz,,,
Oil: Olive Extra Virgin,Grocery,Warehouse,12-1 ltr btl/cs,,,
Pasta: farfalle,Grocery,Warehouse,20-1 lb pkg/cs,,,
Pasta: spaghetti,Grocery,Warehouse,20-1 lb pkg/cs,,,
Tuna: canned,Grocery,Warehouse,"5 oz, 12 can/cs",,,
Iceberg Lettuce,Produce,Ace Endico,,,,
"Avocados: green, 48 ct/cs    ",Produce,Atlantic, 48 ct/cs    ,,,
Romaine Hearts,Produce,Bozzutos,12/3 cs,,,
Basil,Produce,Bozzutos,6/2oz,,,
Cilantro,Produce,Bozzutos,6/2oz,,,
Limes   ,Produce,Sysco ,175 cs,,,
Ginger  ,Produce,Bozzutos,30lb,,,
Grape Tomatoes,Produce,Bozzutos,12-pk,,,
Red Pepper,Produce,Bozzutos,12/12oz,,,
Beets,Produce,Ginsberg's,25 lb/bag,,,
Cucumbers,Produce,Ginsberg's,50lb/cs,,,
"Garlic: fresh, unpeeled",Produce,Ginsberg's,30 lb/cs,,,
"Onions, Red",Produce,Ginsberg's,25 lb/bag,,,
"Onions: yellow, medium",Produce,Ginsberg's,50 lb/cs,,,
Onions: Scallions,Produce,Ginsberg's,8 lb/cs,,,
"Peppers: fresh, suntan",Produce,Ginsberg's,25 lb/bag,,,
"Tomatoes: fresh, plum",Produce,Ginsberg's,25 lb/bag,,,
Bananas; green,Produce,Ginsberg's,40 lb/cs,,,
Bananas; yellow,Produce,Ginsberg's,40 lb/cs,,,
Cabbage,Produce,Ginsberg's,12-14/cs,,,
"Potatoes: fresh, white",Produce,Ginsberg's,50 lb/bag,,,
"Tomatoes: round, fresh",Produce,Ginsberg's,25 lb avg/cs,,,
Yukon Potato,Produce,Ginsberg's,50#,,,
Retail Baby Arugula,Produce,Ginsberg's,12/5oz,,,
Little Leaf  Butterleaf  Retail,Produce,Ginsberg's,8/4oz,,,
Retail Baby Spinach,Produce,Ginsberg's,12/5oz,,,
Little Leaf Spring Mix Retail,Produce,Ginsberg's,8/4oz,,,
Carrots: fresh,Produce,Sysco,"2 lb/bag, 24 lb/cs",,,
"Greens: kale, fresh",Produce,Sysco,25 lb/cs (24 ct/cs),,,
Lemons: fresh,Produce,Sysco,140 ct/cs,,,
"Mushrooms: whole, crimini",Produce,Sysco,12-8 oz pkg,,,
Sweet Potatoes,Produce,Sysco,40 lb/cs ,,,
Broccoli ,Produce,Sysco,1/14ct,,,
Cauliflower,Produce,Sysco,1/12ct,,,
Jalapeños,Produce,Sysco,,,,
Apples Red Fresh Bulk,Produce,Sysco,40 lb,,,
Oranges,Produce,Sysco,1/72ct,,,
Grapefruit,Produce,Sysco,1/40ct,,,
Plantains,Produce,Sysco,,,,
Italian Parsley,Produce,Sysco,1/6ct,,,
Wax Tissue Paper,Supplies,Bozzutos,24/cs,,,
Simply Done Dry Rinse,Supplies,Bozzutos,6/16oz,,,
Simply Done Detergent Single Dish,Supplies,Bozzutos,6/12oz,,,
Thank you Bags,Supplies,Service Center,,,,
Napkins,Supplies,Sysco,24/126ct,,,
Tork Paper Towel Jumbo,Supplies,Sysco,12/cs,,,
Detergent: Dawn,Supplies,Warehouse,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
